"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20210628.CR6","65065","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2021-06-29 20:40:00",184,13.07633,9.778565
"2021-06-29 20:50:00",185,13.07729,9.777882
"2021-06-29 21:00:00",186,13.07744,9.778978
"2021-06-29 21:10:00",187,13.07718,9.780859
"2021-06-29 21:20:00",188,13.07777,9.784627
"2021-06-29 21:30:00",189,13.07752,9.782618
"2021-06-29 21:40:00",190,13.07796,9.785577
"2021-06-29 21:50:00",191,13.0781,9.786528
"2021-06-29 22:00:00",192,13.07785,9.785039
"2021-06-29 22:10:00",193,13.07743,9.782833
"2021-06-29 22:20:00",194,13.07794,9.782887
"2021-06-29 22:30:00",195,13.07896,9.779837
"2021-06-29 22:40:00",196,13.07825,9.780591
"2021-06-29 22:50:00",197,13.07882,9.781434
"2021-06-29 23:00:00",198,13.07743,9.782564
"2021-06-29 23:10:00",199,13.07792,9.780627
"2021-06-29 23:20:00",200,13.07799,9.778367
"2021-06-29 23:30:00",201,13.07823,9.78034
"2021-06-29 23:40:00",202,13.07889,9.778492
"2021-06-29 23:50:00",203,13.07882,9.778798
"2021-06-30 00:00:00",204,13.07886,9.780448
"2021-06-30 00:10:00",205,13.07862,9.782474
"2021-06-30 00:20:00",206,13.0788,9.78077
"2021-06-30 00:30:00",207,13.0782,9.78138
"2021-06-30 00:40:00",208,13.07864,9.783353
"2021-06-30 00:50:00",209,13.07913,9.78294
"2021-06-30 01:00:00",210,13.07913,9.787084
"2021-06-30 01:10:00",211,13.07915,9.785272
"2021-06-30 01:20:00",212,13.07825,9.789543
"2021-06-30 01:30:00",213,13.07895,9.78737
"2021-06-30 01:40:00",214,13.07898,9.789022
"2021-06-30 01:50:00",215,13.07956,9.788107
"2021-06-30 02:00:00",216,13.07981,9.790475
"2021-06-30 02:10:00",217,13.08063,9.793455
"2021-06-30 02:20:00",218,13.08056,9.79193
"2021-06-30 02:30:00",219,13.07948,9.791462
"2021-06-30 02:40:00",220,13.07922,9.79297
"2021-06-30 02:50:00",221,13.07905,9.790243
"2021-06-30 03:00:00",222,13.07999,9.790674
"2021-06-30 03:10:00",223,13.08032,9.790475
"2021-06-30 03:20:00",224,13.08128,9.794818
"2021-06-30 03:30:00",225,13.08056,9.795788
"2021-06-30 03:40:00",226,13.08053,9.791374
"2021-06-30 03:50:00",227,13.08012,9.794693
"2021-06-30 04:00:00",228,13.08113,9.795286
"2021-06-30 04:10:00",229,13.08008,9.798462
"2021-06-30 04:20:00",230,13.0812,9.794837
"2021-06-30 04:30:00",231,13.08129,9.796918
"2021-06-30 04:40:00",232,13.08062,9.794442
"2021-06-30 04:50:00",233,13.08108,9.791551
"2021-06-30 05:00:00",234,13.08041,9.794693
"2021-06-30 05:10:00",235,13.08056,9.788143
"2021-06-30 05:20:00",236,13.08152,9.7887
"2021-06-30 05:30:00",237,13.08222,9.790906
"2021-06-30 05:40:00",238,13.08188,9.794981
"2021-06-30 05:50:00",239,13.08168,9.795231
"2021-06-30 06:00:00",240,13.0813,9.795303
"2021-06-30 06:10:00",241,13.08152,9.795357
"2021-06-30 06:20:00",242,13.08247,9.799055
"2021-06-30 06:30:00",243,13.08135,9.797582
"2021-06-30 06:40:00",244,13.08273,9.800939
"2021-06-30 06:50:00",245,13.08209,9.804314
"2021-06-30 07:00:00",246,13.08283,9.805302
"2021-06-30 07:10:00",247,13.0823,9.803256
"2021-06-30 07:20:00",248,13.08239,9.803866
"2021-06-30 07:30:00",249,13.08168,9.802987
"2021-06-30 07:40:00",250,13.08355,9.801335
"2021-06-30 07:50:00",251,13.08232,9.800474
"2021-06-30 08:00:00",252,13.08328,9.799826
"2021-06-30 08:10:00",253,13.0832,9.800132
"2021-06-30 08:20:00",254,13.08187,9.800814
"2021-06-30 08:30:00",255,13.0834,9.801586
"2021-06-30 08:40:00",256,13.08193,9.798481
"2021-06-30 08:50:00",257,13.08326,9.795805
"2021-06-30 09:00:00",258,13.08412,9.797116
"2021-06-30 09:10:00",259,13.08484,9.810115
"2021-06-30 09:20:00",260,13.08411,9.801658
"2021-06-30 09:30:00",261,13.08307,9.801174
"2021-06-30 09:40:00",262,13.08196,9.798678
"2021-06-30 09:50:00",263,13.07981,9.800491
"2021-06-30 10:00:00",264,13.08237,9.795931
"2021-06-30 10:10:00",265,13.084,9.799162
"2021-06-30 10:20:00",266,13.0836,9.800545
"2021-06-30 10:30:00",267,13.08522,9.798516
"2021-06-30 10:40:00",268,13.08317,9.800095
"2021-06-30 10:50:00",269,13.08275,9.798534
"2021-06-30 11:00:00",270,13.08214,9.796703
"2021-06-30 11:10:00",271,13.08223,9.797313
"2021-06-30 11:20:00",272,13.08397,9.799126
"2021-06-30 11:30:00",273,13.0863,9.797422
"2021-06-30 11:40:00",274,13.08558,9.801586
"2021-06-30 11:50:00",275,13.08441,9.799666
"2021-06-30 12:00:00",276,13.08531,9.801926
"2021-06-30 12:10:00",277,13.08441,9.798444
"2021-06-30 12:20:00",278,13.0844,9.800347
"2021-06-30 12:30:00",279,13.08536,9.806974
"2021-06-30 12:40:00",280,13.084,9.804406
"2021-06-30 12:50:00",281,13.08492,9.824399
"2021-06-30 13:00:00",282,13.08554,9.810709
"2021-06-30 13:10:00",283,13.08484,9.806524
"2021-06-30 13:20:00",284,13.08516,9.830278
"2021-06-30 13:30:00",285,13.0857,9.804314
"2021-06-30 13:40:00",286,13.08424,9.804333
"2021-06-30 13:50:00",287,13.08417,9.80277
"2021-06-30 14:00:00",288,13.0857,9.799935
"2021-06-30 14:10:00",289,13.08547,9.814498
"2021-06-30 14:20:00",290,13.08526,9.80347
"2021-06-30 14:30:00",291,13.08481,9.807638
"2021-06-30 14:40:00",292,13.08489,9.806452
"2021-06-30 14:50:00",293,13.08455,9.804836
"2021-06-30 15:00:00",294,13.08554,9.807278
"2021-06-30 15:10:00",295,13.08618,9.805051
"2021-06-30 15:20:00",296,13.08566,9.811014
"2021-06-30 15:30:00",297,13.08507,9.806632
"2021-06-30 15:40:00",298,13.08593,9.807996
"2021-06-30 15:50:00",299,13.08564,9.810314
"2021-06-30 16:00:00",300,13.08553,9.808966
"2021-06-30 16:10:00",301,13.0841,9.808464
"2021-06-30 16:20:00",302,13.0849,9.807583
"2021-06-30 16:30:00",303,13.08584,9.804907
"2021-06-30 16:40:00",304,13.08673,9.807978
"2021-06-30 16:50:00",305,13.08522,9.804586
"2021-06-30 17:00:00",306,13.08563,9.806021
"2021-06-30 17:10:00",307,13.08448,9.807745
"2021-06-30 17:20:00",308,13.08489,9.809326
"2021-06-30 17:30:00",309,13.08659,9.816744
"2021-06-30 17:40:00",310,13.08591,9.811697
"2021-06-30 17:50:00",311,13.08333,9.812559
"2021-06-30 18:00:00",312,13.08128,9.815468
"2021-06-30 18:10:00",313,13.07972,9.811265
"2021-06-30 18:20:00",314,13.07869,9.809684
"2021-06-30 18:30:00",315,13.07648,9.809021
"2021-06-30 18:40:00",316,13.0762,9.814587
"2021-06-30 18:50:00",317,13.07301,9.812451
"2021-06-30 19:00:00",318,13.07279,9.821685
"2021-06-30 19:10:00",319,13.0708,9.814373
"2021-06-30 19:20:00",320,13.06959,9.820159
"2021-06-30 19:30:00",321,13.06949,9.821435
"2021-06-30 19:40:00",322,13.06803,9.819529
"2021-06-30 19:50:00",323,13.06948,9.815738
"2021-06-30 20:00:00",324,13.06627,9.817338
"2021-06-30 20:10:00",325,13.06531,9.819134
"2021-06-30 20:20:00",326,13.06467,9.821973
"2021-06-30 20:30:00",327,13.06462,9.81926
"2021-06-30 20:40:00",328,13.06384,9.816133
"2021-06-30 20:50:00",329,13.06234,9.804871
"2021-06-30 21:00:00",330,13.06088,9.802663
"2021-06-30 21:10:00",331,13.06045,9.79796
"2021-06-30 21:20:00",332,13.06103,9.80085
"2021-06-30 21:30:00",333,13.06066,9.80103
"2021-06-30 21:40:00",334,13.05989,9.805427
