"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20240305_chlatest.CR6","4835","EXO_Chla_overlap"
"TIMESTAMP","RECORD","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","Chla_RFU_test","Chla_ugL_test","BGAPC_RFU_test","BGAPC_ugL_test","EXO_wtr_1"
"TS","RN","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-02 00:40:00",39809,4.05,16.18,1.2,1.11,"NAN","NAN","NAN","NAN",3.708
"2026-01-02 00:50:00",39810,3.96,15.82,1.38,1.29,"NAN","NAN","NAN","NAN",3.709
"2026-01-02 01:00:00",39811,4.3,17.19,1.46,1.37,"NAN","NAN","NAN","NAN",3.707
"2026-01-02 01:10:00",39812,4.8,19.19,1.46,1.37,"NAN","NAN","NAN","NAN",3.696
"2026-01-02 01:20:00",39813,4.25,16.97,1.38,1.3,"NAN","NAN","NAN","NAN",3.718
"2026-01-02 01:30:00",39814,3.19,12.73,1.15,1.07,"NAN","NAN","NAN","NAN",3.685
"2026-01-02 01:40:00",39815,4.37,17.48,1.35,1.26,"NAN","NAN","NAN","NAN",3.596
"2026-01-02 01:50:00",39816,4.73,18.92,1.54,1.45,"NAN","NAN","NAN","NAN",3.557
"2026-01-02 02:00:00",39817,4.27,17.08,1.33,1.25,"NAN","NAN","NAN","NAN",3.538
"2026-01-02 02:10:00",39818,4.58,18.34,1.48,1.4,"NAN","NAN","NAN","NAN",3.536
"2026-01-02 02:20:00",39819,4.73,18.93,1.48,1.39,"NAN","NAN","NAN","NAN",3.514
"2026-01-02 02:30:00",39820,4.49,17.97,1.39,1.31,"NAN","NAN","NAN","NAN",3.487
"2026-01-02 02:40:00",39821,4.9,19.63,1.54,1.45,"NAN","NAN","NAN","NAN",3.515
"2026-01-02 02:50:00",39822,5.12,20.48,1.55,1.46,"NAN","NAN","NAN","NAN",3.561
"2026-01-02 03:00:00",39823,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-01-02 03:10:00",39824,4.27,17.05,1.49,1.4,"NAN","NAN","NAN","NAN",3.545
"2026-01-02 03:20:00",39825,3.29,13.13,0.95,0.88,"NAN","NAN","NAN","NAN",3.508
"2026-01-02 03:30:00",39826,3.23,12.86,1.1,1.02,"NAN","NAN","NAN","NAN",3.482
"2026-01-02 03:40:00",39827,4.24,16.94,1.54,1.45,"NAN","NAN","NAN","NAN",3.537
"2026-01-02 03:50:00",39828,4.02,16.08,1.21,1.13,"NAN","NAN","NAN","NAN",3.524
"2026-01-02 04:00:00",39829,4.63,18.54,1.32,1.23,"NAN","NAN","NAN","NAN",3.511
"2026-01-02 04:10:00",39830,3.88,15.51,1.05,0.97,"NAN","NAN","NAN","NAN",3.451
"2026-01-02 04:20:00",39831,4.53,18.12,1.47,1.38,"NAN","NAN","NAN","NAN",3.481
"2026-01-02 04:30:00",39832,4.18,16.7,1.33,1.24,"NAN","NAN","NAN","NAN",3.466
"2026-01-02 04:40:00",39833,4.47,17.89,1.4,1.31,"NAN","NAN","NAN","NAN",3.534
"2026-01-02 04:50:00",39834,4.31,17.22,1.28,1.2,"NAN","NAN","NAN","NAN",3.485
"2026-01-02 05:00:00",39835,4.27,17.08,1.49,1.4,"NAN","NAN","NAN","NAN",3.447
"2026-01-02 05:10:00",39836,4.12,16.48,1.2,1.12,"NAN","NAN","NAN","NAN",3.424
"2026-01-02 05:20:00",39837,4.4,17.61,1.45,1.36,"NAN","NAN","NAN","NAN",3.41
"2026-01-02 05:30:00",39838,4.59,18.37,1.4,1.31,"NAN","NAN","NAN","NAN",3.384
"2026-01-02 05:40:00",39839,3.76,15.02,1.16,1.08,"NAN","NAN","NAN","NAN",3.383
"2026-01-02 05:50:00",39840,3.95,15.77,1.14,1.05,"NAN","NAN","NAN","NAN",3.365
"2026-01-02 06:00:00",39841,4.15,16.57,1.24,1.16,"NAN","NAN","NAN","NAN",3.355
"2026-01-02 06:10:00",39842,4.25,16.97,1.37,1.28,"NAN","NAN","NAN","NAN",3.394
"2026-01-02 06:20:00",39843,4.64,18.58,1.37,1.28,"NAN","NAN","NAN","NAN",3.35
