Reservoir; Site; DataStream; TIMESTAMP_start; TIMESTAMP_end; start_parameter; end_parameter; flag;update_value;adjustment_code; notes
FCR;50; CAT; 2020-08-13 09:20:00 EST; 2020-08-13 12:40:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;2; NA; NA; high conductivity event not represenative of whole reservoir
FCR;50; CAT; 2020-08-17 12:42:00 EST; 2020-08-17 15:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and calibrated DO caps on EXO and RDO
FCR;50; CAT; 2020-08-18 09:50:00 EST; 2020-08-22 12:40:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;2; NA; NA; high conductivity event not represenative of whole reservoir
FCR;50; CAT; 2020-08-19 20:00:00 EST; 2020-08-24 10:40:00 EST; RDO_mgL_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/6500; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2020-08-19 20:00:00 EST; 2020-08-24 10:40:00 EST; RDO_mgL_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/6500/11.3*100; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2020-08-24 08:51:00 EST; 2020-08-24 08:52:00 EST; EXOTemp_C_1; EXOWiper_V;5; NA; NA; added a depth correction factor of -0.2m to the EXO 
FCR;50; CAT; 2020-08-24 10:47:00 EST; 2020-08-24 11:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-08-26 12:00:00 EST; 2020-09-02 10:50:00 EST; RDO_mgL_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/10000; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2020-08-26 12:00:00 EST; 2020-09-02 10:50:00 EST; RDOsat_percent_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/10000/11.3*100; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2020-08-28 19:20:00 EST; 2020-08-29 05:40:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;2; NA; NA; high conductivity event not represenative of whole reservoir
FCR;50; CAT; 2020-09-02 08:51:00 EST; 2020-09-02 08:52:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;5; NA; NA; conductivity check 34.8 microsiemens 
FCR;50; CAT; 2020-09-02 10:55:00 EST; 2020-09-02 12:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-09-05 06:00:00 EST; 2020-09-09 17:50:00 EST; RDO_mgL_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/3000; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2020-09-05 06:00:00 EST; 2020-09-09 17:50:00 EST; RDOsat_percent_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/3000/11.3*100; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2020-09-11 09:42:00 EST; 2020-09-11 10:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning 
FCR;50; CAT; 2020-09-15 09:46:00 EST; 2020-09-15 10:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and EXO DO calibrated
FCR;50; CAT; 2020-09-15 10:30:00 EST; 2020-09-15 13:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; RDO calibrated
FCR;50; CAT; 2020-09-19 12:51:00 EST; 2020-09-19 13:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning 
FCR;50; CAT; 2020-09-30 09:57:00 EST; 2020-09-30 10:30:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-10-05 13:41:00 EST; 2020-10-05 13:44:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-10-09 09:47:00 EST; 2020-10-09 10:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; out of the water to measure placement of co2 sensors
FCR;50; CAT; 2020-10-09 09:47:00 EST; 2020-10-11 09:50:00 EST; ThermistorTemp_C_5; ThermistorTemp_C_9;1; NA; NA; string was out of poistion and all data that was affected was changed to NAs
FCR;50; CAT; 2020-10-09 09:47:00 EST; 2020-10-11 09:50:00 EST; RDO_mgL_9; RDOTemp_C_9;1; NA; NA; string was out of poistion and all data that was effected was changed to NAs
FCR;50; CAT; 2020-10-09 09:47:00 EST; 2020-10-11 09:50:00 EST; LvlPressure_psi_9; LvlTemp_C_9;1; NA; NA; string was out of poistion and all data that was effected was changed to NAs
FCR;50; CAT; 2020-10-11 09:09:00 EST; 2020-10-11 09:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; string out of the water and repositioned because it was caught 
FCR;50; CAT; 2020-10-14 11:50:00 EST; 2020-10-14 12:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-10-19 12:18:00 EST; 2020-10-19 15:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning DO calibration and surface reading broken
FCR;50; CAT; 2020-10-19 15:00:00 EST; 2020-10-20 11:22:00 EST; ThermistorTemp_C_surface; NA;1; NA; NA; surface temp sensor broke and is reading NA
FCR;50; CAT; 2020-10-20 11:23:00 EST; 2020-10-20 13:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up troubleshooting
FCR;50; CAT; 2020-10-20 13:38:00 EST; 2020-10-22 09:26:00 EST; ThermistorTemp_C_2; NA;1; NA; NA; the 2m sensor was moved to the surface spot and moved back when fixed with BVR sensor
FCR;50; CAT; 2020-10-26 09:05:00 EST; 2020-10-26 09:15:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-10-30 13:00:00 EST; 2021-02-08 14:30:00 EST; ThermistorTemp_C_1; NA;8; NA;-0.22617; thermistor broken and values adjusted
FCR;50; CAT; 2020-10-31 05:00:00 EST; 2021-02-08 14:30:00 EST; ThermistorTemp_C_4; NA;8; NA;-0.18122; thermistor broken and values adjusted
